structure,position,species,date,size,cleaning,survival,SGR
Tree 079,1_1_1,Pocillopora verucosa,2018/12/01,2,1,100,0.011168
Tree 079,1_1_2,Pocillopora verucosa,2018/12/01,3,1,100,0.011252
Tree 079,1_1_3,Pocillopora verucosa,2018/12/01,1,1,100,0.016286
Tree 079,1_1_4,Pocillopora verucosa,2018/12/01,2,1,100,0.015990
Tree 079,1_2_1,Pocillopora verucosa,2018/12/01,3,1,100,0.014599
Tree 079,1_2_2,Pocillopora verucosa,2018/12/01,2,1,100,0.012984
Tree 079,1_2_4,Pocillopora verucosa,2018/12/01,2,1,100,0.022506
Tree 079,1_2_5,Pocillopora verucosa,2018/12/01,1,1,100,0.017993
Tree 079,1_3_1,Pocillopora verucosa,2018/12/01,3,1,100,0.012394
Tree 079,1_3_2,Pocillopora verucosa,2018/12/01,2,1,100,0.013240
Tree 079,1_3_3,Pocillopora verucosa,2018/12/01,3,1,100,0.008666
Tree 079,1_3_4,Pocillopora verucosa,2018/12/01,3,1,100,0.009715
Tree 079,1_3_5,Pocillopora verucosa,2018/12/01,1,1,100,0.021618
Tree 079,2_1_1,Acropora verweyi,2018/12/01,2,1,100,0.009982
Tree 079,2_1_2,Acropora verweyi,2018/12/01,1,1,90,-0.007198
Tree 079,2_1_3,Acropora verweyi,2018/12/01,3,1,100,0.008975
Tree 079,2_1_4,Acropora verweyi,2018/12/01,1,1,100,0.004480
Tree 079,2_1_5,Acropora verweyi,2018/12/01,2,1,100,0.007619
Tree 079,2_2_1,Acropora verweyi,2018/12/01,3,1,100,0.007615
Tree 079,2_2_3,Acropora verweyi,2018/12/01,3,1,100,0.004905
Tree 079,2_2_4,Acropora verweyi,2018/12/01,1,1,100,-0.001604
Tree 079,2_2_5,Acropora verweyi,2018/12/01,3,1,100,0.003879
Tree 079,2_3_1,Acropora verweyi,2018/12/01,3,1,100,0.007191
Tree 079,2_3_2,Acropora verweyi,2018/12/01,1,1,100,0.003237
Tree 079,2_3_3,Acropora verweyi,2018/12/01,2,1,100,0.000180
Tree 079,2_3_4,Acropora verweyi,2018/12/01,2,1,100,0.015647
Tree 079,2_3_5,Acropora verweyi,2018/12/01,1,1,100,0.003998
Tree 079,3_1_1,Acropora formosa,2018/12/01,3,1,100,0.012588
Tree 079,3_1_2,Acropora formosa,2018/12/01,1,1,100,0.013389
Tree 079,3_1_3,Acropora formosa,2018/12/01,1,1,100,0.011974
Tree 079,3_1_4,Acropora formosa,2018/12/01,2,1,100,0.014675
Tree 079,3_1_5,Acropora formosa,2018/12/01,3,1,100,0.019036
Tree 079,3_2_2,Acropora formosa,2018/12/01,3,1,100,0.010176
Tree 079,3_2_3,Acropora formosa,2018/12/01,2,1,100,0.008862
Tree 079,3_2_4,Acropora formosa,2018/12/01,3,1,100,0.013973
Tree 079,3_2_5,Acropora formosa,2018/12/01,1,1,100,0.006745
Tree 079,3_3_1,Acropora formosa,2018/12/01,2,1,100,0.011986
Tree 079,3_3_2,Acropora formosa,2018/12/01,2,1,100,0.013032
Tree 079,3_3_3,Acropora formosa,2018/12/01,1,1,100,0.012838
Tree 079,3_3_4,Acropora formosa,2018/12/01,1,1,100,0.007442
Tree 079,3_3_5,Acropora formosa,2018/12/01,3,1,100,0.012739
Tree 079,4_1_1,Porites cylindrica,2018/12/01,2,1,90,-0.002394
Tree 079,4_1_2,Porites cylindrica,2018/12/01,3,1,100,0.012699
Tree 079,4_1_3,Porites cylindrica,2018/12/01,1,1,100,0.013738
Tree 079,4_1_4,Porites cylindrica,2018/12/01,1,1,100,0.006530
Tree 079,4_1_5,Porites cylindrica,2018/12/01,3,1,100,0.010879
Tree 079,4_2_1,Porites cylindrica,2018/12/01,2,1,100,0.008486
Tree 079,4_2_2,Porites cylindrica,2018/12/01,3,1,100,0.003811
Tree 079,4_2_4,Porites cylindrica,2018/12/01,3,1,100,0.006402
Tree 079,4_2_5,Porites cylindrica,2018/12/01,1,1,100,0.007607
Tree 079,4_3_1,Porites cylindrica,2018/12/01,2,1,100,0.007825
Tree 079,4_3_2,Porites cylindrica,2018/12/01,3,1,100,0.004538
Tree 079,4_3_3,Porites cylindrica,2018/12/01,1,1,100,0.010321
Tree 079,4_3_4,Porites cylindrica,2018/12/01,2,1,100,0.009573
Tree 079,4_3_5,Porites cylindrica,2018/12/01,2,1,100,0.011116
Tree 084,1_1_1,Porites cylindrica,2018/12/01,3,4,100,0.011905
Tree 084,1_1_2,Porites cylindrica,2018/12/01,2,4,100,0.004258
Tree 084,1_1_3,Porites cylindrica,2018/12/01,3,4,90,0.004736
Tree 084,1_1_4,Porites cylindrica,2018/12/01,1,4,100,0.009286
Tree 084,1_1_5,Porites cylindrica,2018/12/01,1,4,100,0.015938
Tree 084,1_2_1,Porites cylindrica,2018/12/01,3,4,80,-0.002566
Tree 084,1_2_4,Porites cylindrica,2018/12/01,1,4,100,0.009494
Tree 084,1_3_1,Porites cylindrica,2018/12/01,2,4,80,0.004379
Tree 084,1_3_2,Porites cylindrica,2018/12/01,1,4,100,0.002486
Tree 084,1_3_3,Porites cylindrica,2018/12/01,3,4,100,0.007611
Tree 084,1_3_4,Porites cylindrica,2018/12/01,2,4,100,0.009365
Tree 084,2_1_1,Pocillopora verucosa,2018/12/01,2,4,100,0.012182
Tree 084,2_1_2,Pocillopora verucosa,2018/12/01,3,4,100,0.008887
Tree 084,2_1_3,Pocillopora verucosa,2018/12/01,1,4,100,0.021452
Tree 084,2_1_4,Pocillopora verucosa,2018/12/01,1,4,100,0.019257
Tree 084,2_1_5,Pocillopora verucosa,2018/12/01,3,4,100,0.004837
Tree 084,2_2_1,Pocillopora verucosa,2018/12/01,3,4,100,0.004581
Tree 084,2_2_2,Pocillopora verucosa,2018/12/01,1,4,100,0.012452
Tree 084,2_2_3,Pocillopora verucosa,2018/12/01,2,4,100,0.017361
Tree 084,2_2_4,Pocillopora verucosa,2018/12/01,3,4,100,0.008777
Tree 084,2_2_5,Pocillopora verucosa,2018/12/01,2,4,100,0.019857
Tree 084,2_3_1,Pocillopora verucosa,2018/12/01,1,4,100,0.007419
Tree 084,2_3_2,Pocillopora verucosa,2018/12/01,1,4,100,0.019393
Tree 084,2_3_3,Pocillopora verucosa,2018/12/01,2,4,100,0.005175
Tree 084,2_3_4,Pocillopora verucosa,2018/12/01,2,4,100,0.011412
Tree 084,2_3_5,Pocillopora verucosa,2018/12/01,3,4,100,0.007946
Tree 084,3_1_1,Acropora formosa,2018/12/01,1,4,80,0.008188
Tree 084,3_1_2,Acropora formosa,2018/12/01,2,4,100,0.013446
Tree 084,3_1_3,Acropora formosa,2018/12/01,3,4,100,0.010180
Tree 084,3_1_4,Acropora formosa,2018/12/01,1,4,100,0.016450
Tree 084,3_1_5,Acropora formosa,2018/12/01,2,4,100,0.012068
Tree 084,3_2_1,Acropora formosa,2018/12/01,2,4,100,0.015778
Tree 084,3_2_2,Acropora formosa,2018/12/01,3,4,100,0.016212
Tree 084,3_2_3,Acropora formosa,2018/12/01,2,4,100,0.013670
Tree 084,3_2_4,Acropora formosa,2018/12/01,1,4,100,0.014206
Tree 084,3_2_5,Acropora formosa,2018/12/01,3,4,100,0.017809
Tree 084,3_3_1,Acropora formosa,2018/12/01,3,4,100,0.006535
Tree 084,3_3_2,Acropora formosa,2018/12/01,2,4,100,0.009441
Tree 084,3_3_3,Acropora formosa,2018/12/01,3,4,100,0.013923
Tree 084,3_3_4,Acropora formosa,2018/12/01,1,4,100,0.013935
Tree 084,3_3_5,Acropora formosa,2018/12/01,1,4,100,0.016040
Tree 084,4_1_1,Acropora verweyi,2018/12/01,1,4,90,0.005023
Tree 084,4_1_2,Acropora verweyi,2018/12/01,3,4,100,0.013876
Tree 084,4_1_3,Acropora verweyi,2018/12/01,2,4,100,0.014674
Tree 084,4_1_4,Acropora verweyi,2018/12/01,1,4,100,0.007136
Tree 084,4_1_5,Acropora verweyi,2018/12/01,3,4,90,0.013215
Tree 084,4_2_1,Acropora verweyi,2018/12/01,3,4,100,0.013543
Tree 084,4_2_2,Acropora verweyi,2018/12/01,2,4,90,0.004408
Tree 084,4_2_3,Acropora verweyi,2018/12/01,3,4,100,0.004972
Tree 084,4_2_4,Acropora verweyi,2018/12/01,2,4,100,0.008090
Tree 084,4_2_5,Acropora verweyi,2018/12/01,1,4,50,-0.002226
Tree 084,4_3_1,Acropora verweyi,2018/12/01,1,4,30,-0.001739
Tree 084,4_3_2,Acropora verweyi,2018/12/01,2,4,100,0.002426
Tree 084,4_3_3,Acropora verweyi,2018/12/01,3,4,100,0.015706
Tree 084,4_3_4,Acropora verweyi,2018/12/01,1,4,100,0.010139
Tree 084,4_3_5,Acropora verweyi,2018/12/01,2,4,100,0.015226
Tree 088,1_1_1,Pocillopora verucosa,2018/12/01,3,2,100,0.013179
Tree 088,1_1_2,Pocillopora verucosa,2018/12/01,3,2,100,0.015542
Tree 088,1_1_3,Pocillopora verucosa,2018/12/01,2,2,100,0.014326
Tree 088,1_1_4,Pocillopora verucosa,2018/12/01,3,2,100,0.011335
Tree 088,1_1_5,Pocillopora verucosa,2018/12/01,3,2,100,0.014682
Tree 088,1_2_1,Pocillopora verucosa,2018/12/01,2,2,100,0.013264
Tree 088,1_2_2,Pocillopora verucosa,2018/12/01,1,2,100,0.009084
Tree 088,1_2_3,Pocillopora verucosa,2018/12/01,2,2,100,0.017465
Tree 088,1_2_4,Pocillopora verucosa,2018/12/01,1,2,100,0.014594
Tree 088,1_2_5,Pocillopora verucosa,2018/12/01,2,2,100,0.013433
Tree 088,1_3_1,Pocillopora verucosa,2018/12/01,3,2,100,0.009044
Tree 088,1_3_2,Pocillopora verucosa,2018/12/01,1,2,100,0.008488
Tree 088,1_3_3,Pocillopora verucosa,2018/12/01,1,2,100,0.011019
Tree 088,1_3_4,Pocillopora verucosa,2018/12/01,1,2,100,0.012195
Tree 088,1_3_5,Pocillopora verucosa,2018/12/01,2,2,100,0.019043
Tree 088,2_1_1,Acropora verweyi,2018/12/01,2,2,90,0.004877
Tree 088,2_1_2,Acropora verweyi,2018/12/01,3,2,100,0.011114
Tree 088,2_1_3,Acropora verweyi,2018/12/01,3,2,100,0.006372
Tree 088,2_1_4,Acropora verweyi,2018/12/01,2,2,80,0.001621
Tree 088,2_1_5,Acropora verweyi,2018/12/01,1,2,60,0.003834
Tree 088,2_2_1,Acropora verweyi,2018/12/01,3,2,100,0.007763
Tree 088,2_2_3,Acropora verweyi,2018/12/01,2,2,100,0.015822
Tree 088,2_2_4,Acropora verweyi,2018/12/01,1,2,80,0.003072
Tree 088,2_2_5,Acropora verweyi,2018/12/01,1,2,60,-0.006788
Tree 088,2_3_1,Acropora verweyi,2018/12/01,3,2,100,0.012246
Tree 088,2_3_2,Acropora verweyi,2018/12/01,2,2,90,0.006801
Tree 088,2_3_3,Acropora verweyi,2018/12/01,3,2,100,0.009893
Tree 088,2_3_4,Acropora verweyi,2018/12/01,1,2,40,0.002994
Tree 088,2_3_5,Acropora verweyi,2018/12/01,2,2,80,0.007501
Tree 088,3_1_1,Acropora formosa,2018/12/01,1,2,80,0.004619
Tree 088,3_1_2,Acropora formosa,2018/12/01,1,2,90,0.010275
Tree 088,3_1_3,Acropora formosa,2018/12/01,2,2,100,0.010679
Tree 088,3_1_4,Acropora formosa,2018/12/01,3,2,60,-0.006753
Tree 088,3_1_5,Acropora formosa,2018/12/01,3,2,100,0.006190
Tree 088,3_2_1,Acropora formosa,2018/12/01,2,2,100,0.017939
Tree 088,3_2_2,Acropora formosa,2018/12/01,2,2,100,0.016468
Tree 088,3_2_3,Acropora formosa,2018/12/01,3,2,100,0.004479
Tree 088,3_2_4,Acropora formosa,2018/12/01,1,2,100,0.016508
Tree 088,3_2_5,Acropora formosa,2018/12/01,2,2,100,0.010466
Tree 088,3_3_1,Acropora formosa,2018/12/01,3,2,100,0.006064
Tree 088,3_3_2,Acropora formosa,2018/12/01,2,2,100,0.004834
Tree 088,3_3_3,Acropora formosa,2018/12/01,3,2,90,0.007455
Tree 088,3_3_4,Acropora formosa,2018/12/01,1,2,100,0.001664
Tree 088,3_3_5,Acropora formosa,2018/12/01,1,2,100,0.018781
Tree 088,4_1_1,Porites cylindrica,2018/12/01,3,2,100,0.007659
Tree 088,4_1_2,Porites cylindrica,2018/12/01,2,2,90,0.010693
Tree 088,4_1_4,Porites cylindrica,2018/12/01,1,2,100,0.000296
Tree 088,4_1_5,Porites cylindrica,2018/12/01,1,2,100,0.013550
Tree 088,4_2_2,Porites cylindrica,2018/12/01,3,2,100,0.010101
Tree 088,4_2_3,Porites cylindrica,2018/12/01,2,2,80,0.006310
Tree 088,4_2_4,Porites cylindrica,2018/12/01,2,2,90,0.005284
Tree 088,4_3_3,Porites cylindrica,2018/12/01,1,2,100,0.015282
Tree 088,4_3_4,Porites cylindrica,2018/12/01,2,2,100,-0.002711
Tree 088,4_3_5,Porites cylindrica,2018/12/01,3,2,90,0.012127
Tree 089,1_1_2,Pocillopora verucosa,2018/12/01,3,1,100,0.005006
Tree 089,1_1_3,Pocillopora verucosa,2018/12/01,2,1,100,0.011046
Tree 089,1_1_4,Pocillopora verucosa,2018/12/01,2,1,100,0.016791
Tree 089,1_1_5,Pocillopora verucosa,2018/12/01,1,1,100,0.014488
Tree 089,1_2_1,Pocillopora verucosa,2018/12/01,3,1,100,0.015984
Tree 089,1_2_2,Pocillopora verucosa,2018/12/01,2,1,100,0.016772
Tree 089,1_2_3,Pocillopora verucosa,2018/12/01,3,1,100,0.019064
Tree 089,1_2_4,Pocillopora verucosa,2018/12/01,3,1,100,0.009384
Tree 089,1_2_5,Pocillopora verucosa,2018/12/01,2,1,100,0.013661
Tree 089,1_3_1,Pocillopora verucosa,2018/12/01,1,1,100,0.017007
Tree 089,1_3_2,Pocillopora verucosa,2018/12/01,2,1,100,0.013707
Tree 089,1_3_3,Pocillopora verucosa,2018/12/01,3,1,100,0.017305
Tree 089,1_3_4,Pocillopora verucosa,2018/12/01,1,1,100,0.016152
Tree 089,2_1_1,Acropora formosa,2018/12/01,3,1,100,0.012021
Tree 089,2_1_2,Acropora formosa,2018/12/01,2,1,100,0.013392
Tree 089,2_1_3,Acropora formosa,2018/12/01,3,1,100,0.012679
Tree 089,2_1_4,Acropora formosa,2018/12/01,2,1,100,0.010000
Tree 089,2_1_5,Acropora formosa,2018/12/01,1,1,100,0.013970
Tree 089,2_2_1,Acropora formosa,2018/12/01,2,1,100,0.003048
Tree 089,2_2_2,Acropora formosa,2018/12/01,1,1,100,0.008952
Tree 089,2_2_3,Acropora formosa,2018/12/01,1,1,100,-0.000896
Tree 089,2_2_4,Acropora formosa,2018/12/01,3,1,100,0.005968
Tree 089,2_2_5,Acropora formosa,2018/12/01,1,1,100,0.007917
Tree 089,2_3_1,Acropora formosa,2018/12/01,2,1,100,0.012122
Tree 089,2_3_2,Acropora formosa,2018/12/01,3,1,100,0.016323
Tree 089,2_3_3,Acropora formosa,2018/12/01,1,1,100,0.007785
Tree 089,2_3_4,Acropora formosa,2018/12/01,2,1,100,0.018055
Tree 089,2_3_5,Acropora formosa,2018/12/01,3,1,100,0.003063
Tree 089,3_1_1,Porites cylindrica,2018/12/01,2,1,100,0.013417
Tree 089,3_1_2,Porites cylindrica,2018/12/01,3,1,100,0.008047
Tree 089,3_1_3,Porites cylindrica,2018/12/01,1,1,80,0.002210
Tree 089,3_1_4,Porites cylindrica,2018/12/01,2,1,100,0.007151
Tree 089,3_2_2,Porites cylindrica,2018/12/01,2,1,100,0.010530
Tree 089,3_2_3,Porites cylindrica,2018/12/01,1,1,100,0.015457
Tree 089,3_2_4,Porites cylindrica,2018/12/01,3,1,100,0.001872
Tree 089,3_2_5,Porites cylindrica,2018/12/01,1,1,100,0.007007
Tree 089,3_3_4,Porites cylindrica,2018/12/01,3,1,100,0.006700
Tree 089,3_3_5,Porites cylindrica,2018/12/01,2,1,100,0.008197
Tree 089,4_1_1,Acropora verweyi,2018/12/01,1,1,90,0.009893
Tree 089,4_1_2,Acropora verweyi,2018/12/01,3,1,100,0.011185
Tree 089,4_1_3,Acropora verweyi,2018/12/01,2,1,100,0.004484
Tree 089,4_1_4,Acropora verweyi,2018/12/01,1,1,90,-0.003110
Tree 089,4_1_5,Acropora verweyi,2018/12/01,1,1,90,0.010797
Tree 089,4_2_1,Acropora verweyi,2018/12/01,3,1,100,0.012379
Tree 089,4_2_2,Acropora verweyi,2018/12/01,2,1,100,0.013686
Tree 089,4_2_3,Acropora verweyi,2018/12/01,1,1,100,0.001679
Tree 089,4_2_4,Acropora verweyi,2018/12/01,3,1,100,0.014441
Tree 089,4_2_5,Acropora verweyi,2018/12/01,2,1,100,0.007689
Tree 089,4_3_1,Acropora verweyi,2018/12/01,3,1,100,-0.003381
Tree 089,4_3_2,Acropora verweyi,2018/12/01,2,1,100,0.008990
Tree 089,4_3_3,Acropora verweyi,2018/12/01,1,1,100,-0.001403
Tree 089,4_3_4,Acropora verweyi,2018/12/01,3,1,100,0.010876
Tree 089,4_3_5,Acropora verweyi,2018/12/01,2,1,100,0.010250
Tree 090,1_1_1,Acropora verweyi,2018/12/01,2,4,80,0.008499
Tree 090,1_1_2,Acropora verweyi,2018/12/01,1,4,50,0.000403
Tree 090,1_1_3,Acropora verweyi,2018/12/01,3,4,80,0.007638
Tree 090,1_1_4,Acropora verweyi,2018/12/01,2,4,90,0.010777
Tree 090,1_1_5,Acropora verweyi,2018/12/01,3,4,100,0.013428
Tree 090,1_2_1,Acropora verweyi,2018/12/01,2,4,100,0.010344
Tree 090,1_2_2,Acropora verweyi,2018/12/01,3,4,100,0.012061
Tree 090,1_2_3,Acropora verweyi,2018/12/01,2,4,90,0.009929
Tree 090,1_2_4,Acropora verweyi,2018/12/01,1,4,40,-0.006230
Tree 090,1_2_5,Acropora verweyi,2018/12/01,1,4,70,0.008403
Tree 090,1_3_1,Acropora verweyi,2018/12/01,3,4,100,0.010288
Tree 090,1_3_2,Acropora verweyi,2018/12/01,1,4,50,0.011054
Tree 090,1_3_3,Acropora verweyi,2018/12/01,2,4,80,0.009378
Tree 090,1_3_4,Acropora verweyi,2018/12/01,3,4,100,0.001520
Tree 090,1_3_5,Acropora verweyi,2018/12/01,1,4,50,-0.003197
Tree 090,2_1_1,Pocillopora verucosa,2018/12/01,3,4,100,0.007252
Tree 090,2_1_2,Pocillopora verucosa,2018/12/01,2,4,90,0.014945
Tree 090,2_1_3,Pocillopora verucosa,2018/12/01,2,4,100,0.011410
Tree 090,2_1_4,Pocillopora verucosa,2018/12/01,1,4,100,0.015772
Tree 090,2_1_5,Pocillopora verucosa,2018/12/01,3,4,100,0.015311
Tree 090,2_2_1,Pocillopora verucosa,2018/12/01,1,4,100,0.010608
Tree 090,2_2_2,Pocillopora verucosa,2018/12/01,3,4,90,0.008276
Tree 090,2_2_3,Pocillopora verucosa,2018/12/01,2,4,100,0.010692
Tree 090,2_2_4,Pocillopora verucosa,2018/12/01,3,4,90,0.005552
Tree 090,2_2_5,Pocillopora verucosa,2018/12/01,1,4,100,0.014567
Tree 090,2_3_1,Pocillopora verucosa,2018/12/01,2,4,100,0.015348
Tree 090,2_3_2,Pocillopora verucosa,2018/12/01,3,4,100,0.005447
Tree 090,2_3_3,Pocillopora verucosa,2018/12/01,1,4,90,0.015200
Tree 090,2_3_4,Pocillopora verucosa,2018/12/01,2,4,100,0.012825
Tree 090,2_3_5,Pocillopora verucosa,2018/12/01,1,4,100,0.014709
Tree 090,3_1_1,Porites cylindrica,2018/12/01,2,4,100,0.009741
Tree 090,3_1_3,Porites cylindrica,2018/12/01,1,4,100,0.013626
Tree 090,3_1_4,Porites cylindrica,2018/12/01,3,4,80,0.005876
Tree 090,3_2_1,Porites cylindrica,2018/12/01,3,4,100,0.003424
Tree 090,3_2_2,Porites cylindrica,2018/12/01,2,4,90,-0.002488
Tree 090,3_2_3,Porites cylindrica,2018/12/01,1,4,80,0.007363
Tree 090,3_2_4,Porites cylindrica,2018/12/01,2,4,100,0.009092
Tree 090,3_3_2,Porites cylindrica,2018/12/01,3,4,80,0.004123
Tree 090,3_3_3,Porites cylindrica,2018/12/01,1,4,90,0.007036
Tree 090,3_3_4,Porites cylindrica,2018/12/01,2,4,100,0.002043
Tree 090,3_3_5,Porites cylindrica,2018/12/01,1,4,90,0.007643
Tree 090,4_1_1,Acropora formosa,2018/12/01,3,4,100,0.010540
Tree 090,4_1_2,Acropora formosa,2018/12/01,2,4,100,0.014307
Tree 090,4_1_3,Acropora formosa,2018/12/01,1,4,90,0.004643
Tree 090,4_1_4,Acropora formosa,2018/12/01,3,4,100,0.015451
Tree 090,4_1_5,Acropora formosa,2018/12/01,2,4,100,0.017756
Tree 090,4_2_1,Acropora formosa,2018/12/01,1,4,100,0.022168
Tree 090,4_2_2,Acropora formosa,2018/12/01,2,4,100,0.008247
Tree 090,4_2_3,Acropora formosa,2018/12/01,1,4,100,0.015215
Tree 090,4_2_5,Acropora formosa,2018/12/01,2,4,100,0.008000
Tree 090,4_3_1,Acropora formosa,2018/12/01,3,4,100,0.013255
Tree 090,4_3_2,Acropora formosa,2018/12/01,1,4,90,0.008203
Tree 090,4_3_3,Acropora formosa,2018/12/01,3,4,100,0.009163
Tree 090,4_3_4,Acropora formosa,2018/12/01,2,4,100,0.015267
Tree 090,4_3_5,Acropora formosa,2018/12/01,1,4,90,0.004185
Tree 092,1_1_1,Pocillopora verucosa,2018/12/01,3,2,100,0.011020
Tree 092,1_1_3,Pocillopora verucosa,2018/12/01,2,2,100,0.015105
Tree 092,1_1_4,Pocillopora verucosa,2018/12/01,1,2,100,0.011054
Tree 092,1_1_5,Pocillopora verucosa,2018/12/01,3,2,100,0.011526
Tree 092,1_2_1,Pocillopora verucosa,2018/12/01,1,2,100,0.019017
Tree 092,1_2_2,Pocillopora verucosa,2018/12/01,1,2,100,0.014499
Tree 092,1_2_3,Pocillopora verucosa,2018/12/01,3,2,100,0.008567
Tree 092,1_2_4,Pocillopora verucosa,2018/12/01,2,2,100,0.014315
Tree 092,1_2_5,Pocillopora verucosa,2018/12/01,2,2,100,0.014716
Tree 092,1_3_1,Pocillopora verucosa,2018/12/01,2,2,100,0.011679
Tree 092,1_3_2,Pocillopora verucosa,2018/12/01,3,2,100,0.001949
Tree 092,1_3_3,Pocillopora verucosa,2018/12/01,2,2,100,0.008969
Tree 092,1_3_4,Pocillopora verucosa,2018/12/01,3,2,100,0.011474
Tree 092,1_3_5,Pocillopora verucosa,2018/12/01,1,2,100,0.002564
Tree 092,2_1_1,Acropora verweyi,2018/12/01,2,2,100,0.009395
Tree 092,2_1_2,Acropora verweyi,2018/12/01,1,2,90,0.000242
Tree 092,2_1_3,Acropora verweyi,2018/12/01,3,2,100,0.012007
Tree 092,2_1_4,Acropora verweyi,2018/12/01,3,2,100,0.010468
Tree 092,2_1_5,Acropora verweyi,2018/12/01,1,2,90,0.001905
Tree 092,2_2_1,Acropora verweyi,2018/12/01,1,2,40,-0.008015
Tree 092,2_2_2,Acropora verweyi,2018/12/01,2,2,100,0.008854
Tree 092,2_2_3,Acropora verweyi,2018/12/01,1,2,100,0.001606
Tree 092,2_2_4,Acropora verweyi,2018/12/01,2,2,90,0.007082
Tree 092,2_2_5,Acropora verweyi,2018/12/01,3,2,80,0.002434
Tree 092,2_3_1,Acropora verweyi,2018/12/01,2,2,100,0.013352
Tree 092,2_3_2,Acropora verweyi,2018/12/01,1,2,50,-0.009806
Tree 092,2_3_3,Acropora verweyi,2018/12/01,3,2,100,0.008118
Tree 092,2_3_4,Acropora verweyi,2018/12/01,3,2,100,0.006289
Tree 092,2_3_5,Acropora verweyi,2018/12/01,2,2,100,0.005557
Tree 092,3_1_1,Porites cylindrica,2018/12/01,3,2,90,0.002723
Tree 092,3_1_2,Porites cylindrica,2018/12/01,3,2,100,0.007842
Tree 092,3_1_3,Porites cylindrica,2018/12/01,2,2,100,0.010186
Tree 092,3_1_4,Porites cylindrica,2018/12/01,2,2,100,0.005352
Tree 092,3_1_5,Porites cylindrica,2018/12/01,3,2,90,0.000708
Tree 092,3_2_1,Porites cylindrica,2018/12/01,1,2,100,0.016265
Tree 092,3_2_2,Porites cylindrica,2018/12/01,1,2,30,-0.012721
Tree 092,3_2_3,Porites cylindrica,2018/12/01,2,2,90,0.012025
Tree 092,3_2_4,Porites cylindrica,2018/12/01,2,2,100,0.005107
Tree 092,3_2_5,Porites cylindrica,2018/12/01,3,2,100,0.012193
Tree 092,3_3_1,Porites cylindrica,2018/12/01,2,2,100,0.003369
Tree 092,3_3_2,Porites cylindrica,2018/12/01,1,2,100,0.009478
Tree 092,3_3_3,Porites cylindrica,2018/12/01,1,2,100,0.011817
Tree 092,3_3_4,Porites cylindrica,2018/12/01,3,2,100,-0.000700
Tree 092,4_1_1,Acropora formosa,2018/12/01,2,2,100,0.011289
Tree 092,4_1_2,Acropora formosa,2018/12/01,3,2,100,0.008066
Tree 092,4_1_3,Acropora formosa,2018/12/01,3,2,100,0.008537
Tree 092,4_2_1,Acropora formosa,2018/12/01,3,2,100,0.010992
Tree 092,4_2_2,Acropora formosa,2018/12/01,1,2,90,0.004471
Tree 092,4_2_3,Acropora formosa,2018/12/01,3,2,100,0.016319
Tree 092,4_2_4,Acropora formosa,2018/12/01,1,2,30,-0.029958
Tree 092,4_2_5,Acropora formosa,2018/12/01,2,2,100,0.019841
Tree 092,4_3_1,Acropora formosa,2018/12/01,2,2,100,0.014385
Tree 092,4_3_2,Acropora formosa,2018/12/01,3,2,100,0.008001
Tree 092,4_3_3,Acropora formosa,2018/12/01,2,2,100,0.004293
Tree 092,4_3_4,Acropora formosa,2018/12/01,1,2,100,0.007150
Tree 092,4_3_5,Acropora formosa,2018/12/01,1,2,90,0.003966
Tree 093,1_1_1,Porites cylindrica,2018/12/01,1,2,90,0.012456
Tree 093,1_1_2,Porites cylindrica,2018/12/01,2,2,80,0.012778
Tree 093,1_1_3,Porites cylindrica,2018/12/01,3,2,100,0.002086
Tree 093,1_1_5,Porites cylindrica,2018/12/01,1,2,100,0.005390
Tree 093,1_2_1,Porites cylindrica,2018/12/01,1,2,70,0.007601
Tree 093,1_2_2,Porites cylindrica,2018/12/01,3,2,100,0.006403
Tree 093,1_2_4,Porites cylindrica,2018/12/01,2,2,100,0.012062
Tree 093,1_2_5,Porites cylindrica,2018/12/01,3,2,100,0.012026
Tree 093,1_3_1,Porites cylindrica,2018/12/01,1,2,100,0.013956
Tree 093,1_3_2,Porites cylindrica,2018/12/01,3,2,100,0.007596
Tree 093,1_3_3,Porites cylindrica,2018/12/01,2,2,100,0.009887
Tree 093,1_3_4,Porites cylindrica,2018/12/01,1,2,100,0.014075
Tree 093,1_3_5,Porites cylindrica,2018/12/01,3,2,100,0.011516
Tree 093,2_1_1,Acropora verweyi,2018/12/01,2,2,100,0.014160
Tree 093,2_1_2,Acropora verweyi,2018/12/01,3,2,100,0.010411
Tree 093,2_1_3,Acropora verweyi,2018/12/01,1,2,90,0.014987
Tree 093,2_1_4,Acropora verweyi,2018/12/01,2,2,100,0.016937
Tree 093,2_1_5,Acropora verweyi,2018/12/01,1,2,90,0.008828
Tree 093,2_2_1,Acropora verweyi,2018/12/01,3,2,100,0.012410
Tree 093,2_2_2,Acropora verweyi,2018/12/01,1,2,40,-0.009871
Tree 093,2_2_3,Acropora verweyi,2018/12/01,2,2,100,0.010602
Tree 093,2_2_4,Acropora verweyi,2018/12/01,3,2,100,0.008661
Tree 093,2_2_5,Acropora verweyi,2018/12/01,1,2,70,0.011081
Tree 093,2_3_1,Acropora verweyi,2018/12/01,2,2,100,0.012224
Tree 093,2_3_2,Acropora verweyi,2018/12/01,3,2,100,0.007813
Tree 093,2_3_3,Acropora verweyi,2018/12/01,1,2,80,0.008656
